Distances, Readings
9,1023
9,986
9,988
9,989
9,987
9,989
9,1023
9,987
9,988
9,1023
9,987
9,989
9,982
9,989
9,988
9,991
9,987
9,990
9,984
9,990
9,989
9,990
9,988
9,991
9,986
9,989
9,1023
9,986
9,988
9,1023
9,987
9,989
9,1023
9,987
9,989
9,982
9,987
9,988
9,984
9,987
9,988
9,984
9,989
9,989
9,987
9,988
9,990
9,987
9,991
9,1023
10,1023
10,946
10,950
10,943
10,950
10,948
10,950
10,947
10,950
10,943
10,949
10,948
10,948
10,948
10,1023
10,946
10,947
10,1023
10,946
10,947
10,1023
10,947
10,948
10,943
10,946
10,948
10,944
10,947
10,948
10,944
10,948
10,950
10,945
10,950
10,1023
10,949
10,947
10,950
10,946
10,949
10,1023
10,948
10,948
10,948
10,948
10,948
10,943
10,947
10,948
10,944
11,867
11,866
11,864
11,865
11,864
11,864
11,862
11,864
11,951
11,862
11,864
11,947
11,870
11,870
11,859
11,863
11,864
11,860
11,863
11,864
11,861
11,863
11,865
11,861
11,865
11,951
11,866
11,864
11,866
11,863
11,866
11,858
11,865
11,865
11,866
11,864
11,865
11,860
11,863
11,864
11,861
11,864
11,951
11,862
11,864
11,951
11,863
11,864
11,947
11,863
12,815
12,810
12,815
12,816
12,811
12,815
12,816
12,812
12,815
12,816
12,814
12,815
12,903
12,814
12,817
12,899
12,818
12,815
12,818
12,815
12,817
12,811
12,818
12,815
12,817
12,815
12,817
12,813
12,815
12,903
12,814
12,815
12,900
12,814
12,815
12,898
12,815
12,816
12,810
12,808
12,809
12,805
12,808
12,809
12,806
12,816
12,902
12,810
12,808
12,811
13,768
13,760
13,767
13,766
13,761
13,765
13,765
13,762
13,765
13,767
13,763
13,766
13,853
13,764
13,766
13,851
13,764
13,766
13,758
13,765
13,765
13,762
13,765
13,768
13,762
13,768
13,766
13,768
13,765
13,768
13,764
13,767
13,852
13,767
13,765
13,758
13,758
13,759
13,760
13,765
13,758
13,755
13,758
13,758
13,756
13,758
13,759
13,757
13,759
13,845
14,716
14,713
14,716
14,718
14,714
14,718
14,803
14,719
14,716
14,719
14,715
14,719
14,711
14,718
14,716
14,718
14,716
14,717
14,713
14,716
14,716
14,714
14,716
14,804
14,714
14,716
14,803
14,715
14,716
14,711
14,715
14,716
14,711
14,715
14,717
14,713
14,717
14,717
14,718
14,715
14,718
14,715
14,718
14,802
14,718
14,716
14,718
14,716
14,717
14,712
15,690
15,688
15,687
15,695
15,694
15,695
15,685
15,687
15,772
15,685
15,686
15,682
15,685
15,686
15,681
15,686
15,687
15,683
15,686
15,687
15,684
15,686
15,687
15,684
15,687
15,772
15,686
15,686
15,688
15,685
15,689
15,682
15,688
15,687
15,688
15,686
15,688
15,684
15,687
15,687
15,684
15,686
15,772
15,685
15,687
15,771
15,685
15,687
15,681
15,686
16,737
16,649
16,651
16,647
16,649
16,651
16,646
16,649
16,651
16,647
16,651
16,651
16,649
16,650
16,652
16,648
16,652
16,735
16,652
16,650
16,652
16,650
16,652
16,646
16,651
16,650
16,647
16,650
16,651
16,648
16,650
16,738
16,649
16,650
16,735
16,649
16,650
16,657
16,649
16,651
16,646
16,651
16,651
16,649
16,650
16,652
16,648
16,653
16,737
16,652
17,620
17,615
17,610
17,622
17,622
17,612
17,614
17,623
17,619
17,616
17,701
17,624
17,621
17,623
17,620
17,623
17,618
17,623
17,615
17,615
17,614
17,615
